inn,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,revenue,employees,okved_main,support_email,support_url,kb_url
7707083893,Сбербанк,sberbank.ru,20000,110.0 млн клиентов + сайт: 5 разделов поддержки + источник: Годовой отчёт 2023,https://sberbank.ru,comprehensive,custom_parser,true,true,false,false,true,false,false,,,,,https://sberbank.ru/help,
7728168971,Альфа-Банк,alfabank.ru,20000,22.0 млн клиентов + источник: Пресс-релиз 2024,https://alfabank.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7710140679,Тинькофф Банк,tinkoff.ru,20000,30.0 млн клиентов + сайт: 2 разделов поддержки + сайт: круглосуточная работа + сайт: упоминание поддержки + источник: Пресс-релиз 2024,https://tinkoff.ru,comprehensive,custom_parser,true,true,true,false,true,true,true,,,,,https://tinkoff.ru/help,
7702070139,ВТБ,vtb.ru,15000,15.0 млн клиентов + источник: Отчёт 2023,https://vtb.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7736050003,Газпромбанк,gazprombank.ru,8000,8.0 млн клиентов + сайт: 1 разделов поддержки + сайт: упоминание поддержки + источник: Отчётность,https://gazprombank.ru,comprehensive,custom_parser,true,true,true,false,true,true,false,,,,,https://gazprombank.ru/help,
7706092528,Открытие,open.ru,6000,6.0 млн клиентов + источник: Финансовые отчёты,https://open.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
6671044212,Совкомбанк,sovcombank.ru,13000,13.0 млн клиентов + источник: Отчётность,https://sovcombank.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7725114488,Россельхозбанк,rshb.ru,9000,9.0 млн клиентов + источник: Годовой отчёт,https://rshb.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7734202860,Московский Кредитный Банк,mkb.ru,7000,7.0 млн клиентов + сайт: 5 разделов поддержки + сайт: упоминание поддержки + источник: Отчётность,https://mkb.ru,comprehensive,custom_parser,true,true,true,false,true,true,false,,,,,https://mkb.ru/help,
7744000912,Промсвязьбанк,psbank.ru,5000,5.0 млн клиентов + сайт: круглосуточная работа + сайт: упоминание поддержки + HH: 2 вакансий + источник: Финансовые показатели,https://psbank.ru,comprehensive,custom_parser,true,true,true,false,false,true,true,,,,,,
7744000302,Райффайзенбанк,raiffeisen.ru,4000,4.0 млн клиентов + сайт: упоминание поддержки + HH: 1 вакансий + источник: Отчёт по РФ,https://raiffeisen.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7744001497,ЮниКредит Банк,unicreditbank.ru,3000,3.0 млн клиентов + источник: Данные по России,https://unicreditbank.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7730180682,Сетелем Банк,setelem.ru,2000,2.0 млн клиентов + HH: 3 вакансий + источник: Автокредитный портфель,https://setelem.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7714037218,Почта Банк,pochtabank.ru,10000,10.0 млн клиентов + сайт: упоминание поддержки + HH: 1 вакансий + источник: Отчётность,https://pochtabank.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7730233988,МТС Банк,mtsbank.ru,8000,8.0 млн клиентов + сайт: упоминание поддержки + источник: Интегрированный отчёт,https://mtsbank.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7708313893,Хоум Кредит Банк,homecredit.ru,11000,11.0 млн клиентов + источник: Годовой отчёт,https://homecredit.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7712043436,Русский Стандарт,rsb.ru,6000,6.0 млн клиентов + сайт: 2 разделов поддержки + сайт: упоминание поддержки + источник: Кредитный портфель,https://rsb.ru,comprehensive,custom_parser,true,true,true,false,true,true,false,,,,,https://rsb.ru/help,
1653001805,АК БАРС Банк,akbars.ru,5000,5.0 млн клиентов + HH: 3 вакансий + источник: Региональные данные,https://akbars.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7729405872,Банк Зенит,zenit.ru,4000,4.0 млн клиентов + источник: Отчётность,https://zenit.ru,comprehensive,custom_parser,true,true,false,false,false,true,false,,,,,,
7730060164,Росбанк,rosbank.ru,3000,3.0 млн клиентов + сайт: круглосуточная работа + сайт: упоминание поддержки + источник: Данные Societe Generale,https://rosbank.ru,comprehensive,custom_parser,true,true,true,false,false,true,true,,,,,,
7740000076,МТС,mts.ru,20000,86.0 млн клиентов + сайт: упоминание поддержки + источник: Отчёт 2023,https://mts.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7713076301,Билайн,beeline.ru,20000,47.0 млн клиентов + сайт: упоминание поддержки + HH: 1 вакансий + источник: Данные VimpelCom,https://beeline.ru,comprehensive,custom_parser,true,true,true,false,false,false,false,,,,,,
7812014560,МегаФон,megafon.ru,20000,72.0 млн клиентов + сайт: упоминание поддержки + HH: 2 вакансий + источник: Финансовые отчёты,https://megafon.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7707049388,Ростелеком,rostelecom.ru,20000,55.0 млн клиентов + сайт: упоминание поддержки + источник: Интегрированный отчёт,https://rostelecom.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7728767426,Tele2,tele2.ru,20000,45.0 млн клиентов + HH: 1 вакансий + источник: Отчёт Tele2,https://tele2.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7714698320,Yota,yota.ru,10000,15.0 млн клиентов + HH: 1 вакансий + источник: Как часть МегаФон,https://yota.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7702037683,ТТК,ttk.ru,8000,12.0 млн клиентов + сайт: 1 разделов поддержки + сайт: упоминание поддержки + источник: Региональный оператор,https://ttk.ru,comprehensive,custom_parser,true,true,false,false,true,false,false,,,,,https://ttk.ru/help,
6658505408,ЭР-Телеком,ertelecom.ru,5333,8.0 млн клиентов + сайт: 2 разделов поддержки + источник: Домашний интернет,https://ertelecom.ru,comprehensive,custom_parser,true,true,false,false,true,false,false,,,,,https://ertelecom.ru/help,
2312159380,Wildberries,wildberries.ru,20000,130.0 млн клиентов + HH: 1 вакансий + источник: Статистика 2024,https://wildberries.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7726339704,Ozon,ozon.ru,16000,32.0 млн клиентов + источник: Отчёт Q4 2023,https://ozon.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7736207543,Яндекс Маркет,market.yandex.ru,12500,25.0 млн клиентов + сайт: упоминание поддержки + источник: Яндекс Data,https://market.yandex.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7704217370,СберМегаМаркет,sbermegamarket.ru,9000,18.0 млн клиентов + источник: Пресс-релиз,https://sbermegamarket.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
6164221285,Авито,avito.ru,20000,42.0 млн клиентов + сайт: упоминание поддержки + HH: 1 вакансий + источник: Отчётность,https://avito.ru,comprehensive,custom_parser,true,true,true,false,false,true,false,,,,,,
7733718924,Юла,youla.ru,7500,15.0 млн клиентов + источник: Аудитория Avito,https://youla.ru,comprehensive,custom_parser,true,true,true,false,false,false,false,,,,,,
7717701273,Lamoda,lamoda.ru,5000,10.0 млн клиентов + источник: Fashion-ритейл,https://lamoda.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7709736444,Goods,goods.ru,3500,7.0 млн клиентов + источник: X5 Retail Group,https://goods.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7725563778,1С,1c.ru,1875,1.5 млн клиентов + сайт: упоминание поддержки + HH: 2 вакансий + источник: Корпоративные клиенты,https://1c.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7736207543,Яндекс,yandex.ru,20000,60.0 млн клиентов + источник: Ежемесячная аудитория,https://yandex.ru,comprehensive,custom_parser,true,true,false,false,false,false,false,,,,,,
7736050003,VK,vk.com,20000,95.0 млн клиентов + источник: Ежемесячные пользователи,https://vk.com,comprehensive,custom_parser,true,true,true,false,false,false,false,,,,,,
7811632778,Selectel,selectel.ru,25,0.02 млн клиентов + сайт: круглосуточная работа + сайт: упоминание поддержки + источник: B2B хостинг,https://selectel.ru,comprehensive,custom_parser,true,true,true,false,false,true,true,,,,,,
